year,ccode,warnum,batdeath,wbgdp2011est,wbpopest,sdpest,wbgdppc2011est,milex,milper,irst,pec,tpop,upop,cinc,v2x_polyarchy,polity2,xm_qudsest,batdeathpc,milexpsdp
1969,92,175,700,22.611,15.021,21.804,7.59,10480,4,3,668,3390,625,3.7230717e-4,0.194,0,0.2274616198900719,2.064896755162242e-4,0.0035563492099008947
1907,92,91,300,21.046,13.677,19.873,7.369,200,3,0,0,930,0,3.0674646e-4,0.157,-6,-0.2456876528926778,3.225806451612903e-4,4.6805377983573853e-4
1907,93,91,400,20.559,13.126,19.517,7.434,NA,4,0,0,515,0,2.2492518e-4,0.092,-5,-0.19570527510352215,7.766990291262136e-4,NA
1863,100,43,300,21.662,14.679,0,6.983,NA,4,0,0,2644,0,8.25361e-4,0.214,-5,-0.18713459420357625,1.13464447806354e-4,NA
1951,100,151,140,24.521,16.273,24.184,8.249,56122,17,0,3049,11615,2053,0.0026143882,0.177,-5,-0.18414799538471566,1.2053379250968576e-5,0.0017626065882250632
1863,130,43,700,20.149,13.697,0,6.454,NA,0,0,0,998,0,2.5352469e-4,0.111,-1,0.18342899597054696,7.014028056112224e-4,NA
1995,130,217,550,25.023,16.209,24.845,8.813,530000,58,35,13233,11460,4681,0.001547653,0.71,9,1.206973563253392,4.799301919720768e-5,0.008594675155172359
1995,135,217,950,25.609,16.95,25.398,8.658,874000,115,512,15949,23532,11573,0.0032825482,0.387,1,0.39879463338531956,4.037055923848377e-5,0.00815267596481177
1879,135,64,9672,21.893,14.837,19,7.056,NA,4,0,0,2735,104,0.0013776509,0.236,-3,-7.347811035702906e-6,0.003536380255941499,NA
1866,135,52,600,21.86,14.67,20.112,7.191,1049,18,0,0,2560,0,0.0023584005,0.173,-1,0.18342899597054696,2.34375e-4,0.001933057925405651
1864,140,49,100000,23.12,15.956,21.238,7.164,2413,19,0,176,8945,209,0.0055130571,0.196,-6,-0.27473058914161874,0.011179429849077696,0.0014421522612137715
1851,140,19,500,22.9,15.772,20.789,7.128,NA,20,0,53,7344,108,0.0074406732,0.214,-6,-0.27473058914161874,6.808278867102397e-5,NA
1944,140,139,1000,25.416,17.586,24.844,7.83,144000,NA,221,3696,45141,4990,0.011035967,0.064,-7,-0.5298594496783401,2.215281008395915e-5,0.0023374933482832013
1932,145,124,56661,22.248,14.669,21.427,7.579,2907,7,0,7,2450,150,7.1546528e-4,0.153,2,0.2865490145260699,0.023126938775510204,0.0014381929914338977
1879,145,64,920,20.187,14.223,0,5.967,NA,7,0,0,1456,0,6.6017587e-4,0.112,-7,-0.4958204193816828,6.318681318681319e-4,NA
1864,150,49,200000,19.462,12.769,0,6.695,NA,30,0,0,502,0,0.0011915861,0.059,-9,-0.7868717389114525,0.398406374501992,NA
1932,150,124,36000,21.683,13.697,21.218,7.987,1812,3,0,0,920,112,3.5390517e-4,0.207,-3,0.02083496774338462,0.0391304347826087,0.0011048361512541168
1865,150,49,200000,19.501,12.774,0,6.728,NA,47,0,0,441,0,0.0018965531,0.059,-9,-0.7868717389114525,0.45351473922902497,NA
1879,155,64,3276,22.544,14.579,22.066,7.966,NA,5,0,97,2224,182,0.0017914348,0.272,3,0.4333137607863867,0.001473021582733813,NA
1865,155,52,100,22.018,14.361,21.288,7.657,NA,4,0,64,1795,115,0.0016179272,0.249,0,0.2599067173464702,5.5710306406685235e-5,NA
1851,160,19,800,21.571,13.82,20.935,7.752,NA,5,0,55,966,114,0.0026585178,0.088,-5,-0.1722473826669784,8.281573498964803e-4,NA
1865,160,49,10000,22.057,14.227,21.486,7.831,564,15,0,167,1559,164,0.0027370458,0.385,-3,0.05396748701393472,0.006414368184733804,2.63043676424415e-4
1982,160,202,746,26.16,17.143,26.017,9.017,4147000,175,2752,62916,28966,12460,0.0068101771,0.076,-8,-0.6234142904516466,2.575433266588414e-5,0.020830250834702038
1982,200,202,255,27.884,17.813,27.837,10.071,24169041,335,13704,309737,56318,35501,0.023727851,0.8,10,1.7101814656029002,4.527859654107035e-6,0.01966998033335209
1940,200,139,418765,27.057,17.663,26.962,9.395,9948329,1020,13183,232740,48226,18502,0.094957143,0.682,10,1.4989958112976398,0.008683386554970349,0.01942237424855039
1914,200,106,908371,26.693,17.611,26.56,9.082,1678843,532,7971,213992,46048,17852,0.13790944,0.483,8,0.779737182801311,0.019726611362056983,0.004899464834051024
1939,200,139,418765,26.994,17.653,26.893,9.341,7895671,394,13433,219686,47762,18429,0.09968365,0.723,10,1.484931398278375,0.008767744231816088,0.01651610144986037
1941,200,139,418765,27.094,17.661,27.002,9.433,11280839,2300,12510,228173,48216,18579,0.09925472,0.676,10,1.4989958112976398,0.008685187489629998,0.021160299028355346
1999,200,221,0,28.376,17.854,28.346,10.522,36368000,218,16298,360862,58744,52666,0.023144318,0.835,10,1.7820548257628313,0,0.0177913143979662
1915,200,106,908371,26.723,17.607,26.594,9.115,4651398,4350,8687,216482,44333,17967,0.15022437,0.476,8,0.779737182801311,0.020489725486657794,0.013120671131253283
1854,200,22,22000,25.53,17.107,25.255,8.423,76329,234,3119,70914,27658,4943,0.33608904,0.322,3,0.3762251593204702,7.954298937016415e-4,8.214524555575719e-4
1856,200,25,500,25.568,17.118,25.301,8.45,32369,382,3644,73272,28011,5162,0.29569957,0.322,3,0.3762251593204702,1.7850130305951234e-5,3.326937145456181e-4
1991,200,211,24,28.119,17.84,28.08,10.279,40430000,301,16632,345284,57801,46681,0.026299302,0.838,10,1.799847011091994,4.1521772979706235e-7,0.025805643274555545
2003,200,227,33,28.49,17.874,28.462,10.615,43311000,213,13268,367696,59698,25823,0.01914165,0.859,10,1.8302890954619337,5.527823377667593e-7,0.018867252744305237
1882,200,65,79,26.131,17.348,25.947,8.783,24028,247,8725,139087,35206,9652,0.21167623,0.375,7,0.6864331001184115,2.2439356927796397e-6,1.294430392359171e-4
