warnum,year,batdeath,batdeathpc,tpop,milper,milex,sum_sdpest,mea_sdpest,med_sdpest,min_sdpest,max_sdpest,sum_wbgdp2011est,mea_wbgdp2011est,med_wbgdp2011est,min_wbgdp2011est,max_wbgdp2011est,min_polyarchy,med_polyarchy,mea_polyarchy,max_polyarchy,min_polity2,med_polity2,mea_polity2,max_polity2,wpop
207,1986,8000,9.260331056835282e-4,8639,113,1458660,21039289132.077538,10519644566.038769,10519644566.038769,573919671.8623397,20465369460.2152,30384689035.420452,15192344517.710226,15192344517.710226,6102717495.56367,24281971539.85678,0.072,0.0755,0.0755,0.079,-7,-7,-7,-7,4915172000
208,1987,4000,3.4286351032233457e-6,1166645,4790,5640000,1802143891601.2764,901071945800.6382,901071945800.6382,21493147492.531456,1780650744108.7449,3012024008212.018,1506012004106.009,1506012004106.009,87946982651.72842,2924077025560.2896,0.101,0.137,0.137,0.173,-7,-7,-7,-7,5000767000
211,1990,521466,6.45683974354212e-4,807618,11955,597716070,17139014563318.326,659192867819.9357,32711744192.87385,12739840915.461205,10074211926428.385,17996040273549.04,692155395136.5016,52181820244.69041,13259763686.309029,10339576223692.969,0.017,0.081,0.2315,0.873,-10,-9,-5.12,10,5328003000
215,1992,7130,2.3946263643996642e-4,29775,437,4011000,160148381807.3537,40037095451.838425,50780574946.82332,3399859689.762227,55187372223.94484,194033891562.68784,48508472890.67196,59362199407.34487,7836044375.168712,67473448372.82937,0.225,0.238,0.245,0.279,-5,-4,-3.25,0,5413294000
216,1993,14000,0.001261374898639517,11099,66,279000,39414784435.98324,19707392217.99162,19707392217.99162,8204921548.362194,31209862887.621044,50853072656.39723,25426536328.198616,25426536328.198616,11690004530.689623,39163068125.70761,0.418,0.5095,0.5095,0.601,-3,2,2,7,5498115000
217,1995,1500,4.286694101508916e-5,34992,173,1404000,168870153148.2584,84435076574.1292,84435076574.1292,61666088645.71698,107204064502.54141,206067827942.39987,103033913971.19994,103033913971.19994,73680204175.41255,132387623766.98732,0.387,0.5485,0.5485,0.71,1,5,5,9,5670043000
219,1998,120000,0.0018979533736121217,63226,300,684000,239484679.52184877,119742339.76092438,119742339.76092438,1,239484678.52184877,49828942306.865555,24914471153.432777,24914471153.432777,4054122088.1447453,45774820218.72081,0.131,0.2025,0.2025,0.274,-6,-2.5,-2.5,1,5906705000
221,1999,35002,5.079312561583146e-5,689109,4429,447660000,21477222982922.938,1652094075609.4568,60566029285.77605,60566029285.77605,13762931901863.71,22118559616478,1701427662806,71789208337.64156,71789208337.64156,14055009553368.865,0.282,0.4355,0.5549285714285714,0.911,-6,0.5,1.7142857142857142,10,5983957000
223,1999,1172,1.0187875906108117e-6,1150387,1890,17418000,1820097432032.4253,910048716016.2126,910048716016.2126,307272250193.7473,1512825181838.678,3035232708704.8975,1517616354352.4487,1517616354352.4487,454743790729.1655,2580488917975.732,0.312,0.534,0.534,0.756,-6,1.5,1.5,9,5983957000
225,2001,20002,3.5432310681950634e-5,564513,1961,405710000,20961066146237.875,2096106614623.7876,370401288891.63007,1,14628605374523.248,21569161454979.137,2156916145497.9136,392427041823.32697,23777367028.963627,14939054393166.422,0.083,0.45249999999999996,0.4691,0.892,9,10,9.8,10,6099412000
227,2003,21173,4.7007863876344875e-5,450414,2861,460443000,18451208028327.61,3075201338054.6016,441279483165.9065,76840678127.7668,15119402973186.781,18925370741853.516,3154228456975.586,465336165248.8617,104557186719.05351,15424835173649.664,0.125,0.4875,0.4935,0.877,10,10,10,10,6331869000
